Last Updated: April 22nd 2024,,,,,,,MIN Market Cap,EXPECTED Growth,AVG. Market Cap,MAX Market Cap,MAX Prediction (Data),,,MAX Ladder Sell Level (-25%),,Kyren's MAX Prediction (Subjective),,,,
Kaspa,$0.129,"26,000,000,000",0.123%,NEW,NEW,NEW,"$3,681,000,000",4X (0.48%),"$25,767,000,000","$122,700,000,000",$1.95,"$50,716,000,000",15,$1.46,11,$2,$52B,16,,
Kava,$0.77,"1,082,861,779",0.034%,0.19%,0.03%,-82%,"$1,011,000,000",4X (0.16%),"$9,436,000,000","$33,700,000,000",$13.59,"$14,715,666,667",18,$10.19,13,,,,,
Klaytn,$0.21,"3,684,199,165",0.031%,0.06%,0.25%,-49%,"$939,000,000",3X (0.12%),"$6,573,000,000","$31,300,000,000",$3.51,"$12,937,333,333",17,$2.63,12,,,,,
Kusama,$30.98,"9,651,217",0.011%,0.04%,0.18%,-73%,"$321,000,000",5X (0.1%),"$3,745,000,000","$10,700,000,000",$509.99,"$4,922,000,000",16,$382.49,12,,,,,
LCX,$0.28,"850,000,000",0.009%,0.41%,0.01%,-98%,"$270,000,000",5X (0.05%),"$3,150,000,000","$9,000,000,000",$4.87,"$4,140,000,000",17,$3.65,13,,,,,
Litecoin,$87.13,"76,607,475",0.264%,0.41%,0.86%,-35%,"$7,926,000,000",1.5X (0.375%),"$27,741,000,000","$264,200,000,000","$1,304.78","$99,955,666,667",15,$978.58,11,,,,,
Manta Network,$1.96,"590,000,000",0.020%,NEW,NEW,NEW,"$603,000,000",5X (0.15%),"$7,035,000,000","$20,100,000,000",$15.67,"$9,246,000,000",8,$11.75,6,$60,$35B,31,,
Mantle,$1.15,"3,307,441,863",0.153%,0.05%,0.08%,192%,"$4,593,000,000",4X (0.44%),"$42,868,000,000","$153,100,000,000",$20.21,"$66,853,666,667",18,$15.16,13,,,,,
Mina,$0.94,"1,300,000,000",0.042%,0.04%,0.09%,18%,"$1,257,000,000",5X (0.25%),"$14,665,000,000","$41,900,000,000",$14.83,"$19,274,000,000",16,$11.12,12,$20,$26B,21,,
Monero,$120.26,"18,686,074",0.090%,0.15%,0.29%,-41%,"$2,706,000,000",4X (0.40%),"$18,942,000,000","$90,200,000,000","$1,995.21","$37,282,666,667",17,"$1,496.41",12,,,,,
Moonbeam,$0.35,"1,098,000,000",0.012%,0.02%,0.05%,-31%,"$372,000,000",4X (0.08%),"$3,472,000,000","$12,400,000,000",$4.93,"$5,414,666,667",14,$3.70,10,,,,,
Moonriver,$14.15,"10,500,000",0.005%,0.01%,0.04%,-16%,"$153,000,000",5X (0.05%),"$1,785,000,000","$5,100,000,000",$223.43,"$2,346,000,000",16,$167.57,12,,,,,
Morpheus.Network,$1.00,"47,897,218",0.002%,0.00%,0.01%,-0.38%,"$58,754,176",7X (0.014%),"$959,651,534","$1,958,472,519",$20.72,"$992,292,743",21,$15.54,16,,,,,
MultiversX,$44.75,"28,562,000",0.049%,0.11%,0.34%,-54%,"$1,467,000,000",6X (0.42%),"$20,538,000,000","$48,900,000,000",$827.50,"$23,635,000,000",18,$620.62,14,,,,,
Near Protocol,$7.06,"1,282,652,797",0.306%,0.31%,0.57%,-2%,"$9,186,000,000",4X (1.12%),"$85,736,000,000","$306,200,000,000",$104.24,"$133,707,333,333",15,$78.18,11,$70,$89B,10,,
Neo,$18.45,"81,535,831",0.053%,0.06%,0.43%,-13%,"$1,590,000,000",3X (0.12%),"$11,130,000,000","$53,000,000,000",$268.68,"$21,906,666,667",15,$201.51,11,,,,,
Oasis Network,$0.11,"6,474,000,000",0.029%,2.90%,0.09%,-99%,"$879,000,000",5X (0.2%),"$10,255,000,000","$29,300,000,000",$2.08,"$13,478,000,000",19,$1.56,15,,,,,
Octopus Network,$0.36,"100,000,000",0.001%,NEW,NEW,NEW,"$41,370,964",8X (0.011%),"$772,257,994","$1,379,032,132",$7.31,"$730,887,030",20,$5.48,15,,,,,
Optimism,$2.57,"2,410,588,266",0.110%,NEW,NEW,NEW,"$3,288,000,000",4X (0.56%),"$30,688,000,000","$109,600,000,000",$19.85,"$47,858,666,667",8,$14.89,6,,,,,
ORDI,$47.93,"21,000,000",0.041%,NEW,NEW,NEW,"$1,230,000,000",8X (0.4%),"$22,960,000,000","$41,000,000,000","$1,034.76","$21,730,000,000",22,$776.07,16,,,,,
Osmosis,$1.01,"900,000,000",0.027%,0.06%,0.12%,-51%,"$810,000,000",5X (0.2%),"$9,450,000,000","$27,000,000,000",$13.80,"$12,420,000,000",14,$10.35,10,,,,,
PancakeSwap,$3.04,"273,670,578",0.031%,0.06%,0.23%,-44%,"$936,000,000",4X (0.16%),"$8,736,000,000","$31,200,000,000",$49.78,"$13,624,000,000",16,$37.34,12,,,,,
Pendle,#N/A,"258,446,029",0.062%,0.00%,0.01%,9836%,"$1,845,000,000",6X (0.06X),"$25,830,000,000","$61,500,000,000",$115.01,"$29,725,000,000",#N/A,$86.26,#N/A,,,,,
Polkadot,$7.42,"1,674,311,473",0.434%,0.78%,2.26%,-44%,"$13,029,000,000",3X (1.56%),"$91,203,000,000","$434,300,000,000",$107.21,"$179,510,666,667",14,$80.41,11,,,,,
Polkastarter,$0.91,"100,000,000",0.004%,0.00%,0.01%,-21%,"$111,000,000",8X (0.032%),"$2,072,000,000","$3,700,000,000",$19.61,"$1,961,000,000",22,$14.71,16,,,,,
Polygon,$0.75,"9,999,999,999",0.304%,0.66%,1.14%,-54%,"$9,114,000,000",4X (1.56%),"$85,064,000,000","$303,800,000,000",$13.27,"$132,659,333,333",18,$9.95,13,,,,,
Pyth Network,$0.67,"6,000,000,000",0.041%,NEW,v,NEW,"$1,227,000,000",5X (0.3%),"$14,315,000,000","$40,900,000,000",$3.14,"$18,814,000,000",5,$2.35,4,$15,$30B,22,,
Quant,$112.75,"14,544,176",0.055%,0.13%,0.24%,-56%,"$1,662,000,000",8X (0.56%),"$31,024,000,000","$55,400,000,000","$2,018.81","$29,362,000,000",18,"$1,514.11",13,,,,,
Render,$9.21,"457,898,813",0.144%,0.01%,0.08%,907%,"$4,326,000,000",4X (0.6%),"$40,376,000,000","$144,200,000,000",$137.51,"$62,967,333,333",15,$103.14,11,,,,,
Reserve Rights,$0.0069,"52,000,000,000",0.014%,0.02%,0.05%,-39%,"$426,000,000",10X (0.10%),"$9,940,000,000","$14,200,000,000",$0.16,"$8,188,666,667",23,$0.12,17,,,,,
Rollbit Coin,$0.12,"2,081,140,770",0.012%,NEW,NEW,NEW,"$362,557,650",5X (0.05%),"$4,229,839,250","$12,085,255,000",$2.67,"$5,559,217,300",22,$2.00,16,,,,,
SATS,$0.00034,"2,100,000,000,000",0.029%,NEW,NEW,NEW,"$873,000,000",5X (0.20%),"$10,185,000,000","$29,100,000,000",$0.01,"$13,386,000,000",19,$0.00,14,,,,,
Sei,$0.64,"4,782,000,000",0.073%,NEW,NEW,NEW,"$2,178,000,000",5X (0.45%),"$25,410,000,000","$72,600,000,000",$6.98,"$33,396,000,000",11,$5.24,8,,,,,
SingularityNET,$1.03,"1,557,863,420",0.054%,0.01%,0.02%,943%,"$1,617,000,000",4X (0.2%),"$15,092,000,000","$53,900,000,000",$15.11,"$23,536,333,333",15,$11.33,11,,,,,
Siacoin,$0.008,"56,250,915,000",0.019%,0.02%,0.10%,0%,"$558,000,000",3X (0.06%),"$3,906,000,000","$18,600,000,000",$0.14,"$7,688,000,000",17,$0.10,13,,,,,
Solana,$157.46,"625,000,000",2.866%,1.12%,2.77%,156%,"$85,971,000,000",3X (9.6%),"$601,797,000,000","$731,000,000,000",$756.68,"$472,922,666,667",5,$567.51,4,,,,,
Stacks,$2.87,"1,500,000,000",0.170%,0.05%,0.14%,278%,"$5,100,000,000",4X (0.6%),"$47,600,000,000","$170,000,000,000",$49.49,"$74,233,333,333",17,$37.12,13,,,,,
Stellar,$0.12,"30,000,000,000",0.140%,0.25%,0.33%,-45%,"$4,209,000,000",6X (1.02%),"$58,926,000,000","$140,300,000,000",$2.26,"$67,811,666,667",19,$1.70,14,,,,,
Sui,$1.32,"3,619,707,000",0.070%,NEW,NEW,NEW,"$2,088,000,000",5X (0.35%),"$24,360,000,000","$69,600,000,000",$8.84,"$32,016,000,000",7,$6.63,5,,,,,
Synthetix,$3.08,"328,190,000",0.041%,0.06%,0.13%,-30%,"$1,230,000,000",5X (0.25%),"$14,350,000,000","$41,000,000,000",$57.47,"$18,860,000,000",19,$43.10,14,,,,,
Tezos,$1.06,"989,331,270",0.042%,0.13%,0.25%,-68%,"$1,263,000,000",4X (0.2%),"$11,788,000,000","$42,100,000,000",$18.58,"$18,383,666,667",18,$13.94,13,,,,,
The Graph,$0.29,"10,793,270,472",0.113%,0.08%,0.05%,47%,"$3,396,000,000",4X (0.56%),"$31,696,000,000","$113,200,000,000",$4.58,"$49,430,666,667",16,$3.43,12,,,,,
The Sandbox,$0.50,"3,000,000,000",0.046%,0.1229%,0.27%,-63%,"$1,368,000,000",7X (0.42%),"$22,344,000,000","$45,600,000,000",$7.70,"$23,104,000,000",16,$5.78,12,,,,,
Theta Network,$2.50,"1,000,000,000",0.102%,0.1059%,0.47%,-4%,"$3,057,000,000",4X (0.44%),"$28,532,000,000","$101,900,000,000",$44.50,"$44,496,333,333",18,$33.37,13,,,,,
THORChain,$5.77,"400,000,000",0.079%,0.052%,0.22%,53%,"$2,364,000,000",5X (0.50%),"$27,580,000,000","$78,800,000,000",$90.62,"$36,248,000,000",16,$67.97,12,,,,,
Tron,$0.11,"88,177,051,355",0.405%,0.540%,0.51%,-25%,"$12,147,000,000",1.5X (0.645%),"$42,514,500,000","$404,900,000,000",$1.74,"$153,187,166,667",15,$1.30,11,,,,,
Uniswap,$8.10,"1,000,000,000",0.197%,0.445%,0.75%,-56%,"$5,922,000,000",3.5X (1.26%),"$48,363,000,000","$197,400,000,000",$83.90,"$83,895,000,000",10,$62.92,8,,,,,
VeChain,$0.042,"86,712,634,466",0.125%,0.16%,0.66%,-22%,"$3,753,000,000",4X (0.48%),"$35,028,000,000","$125,100,000,000",$0.63,"$54,627,000,000",15,$0.47,11,,,,,
Verasity,$0.0062,"13,489,500,000",0.003%,0.00%,0.02%,-41%,"$75,000,000",10X (0.04%),"$1,750,000,000","$2,500,000,000",$0.11,"$1,441,666,667",17,$0.08,13,,,,,
WOO,$0.36,"2,052,074,203",0.027%,0.02%,0.03%,74%,"$816,000,000",5X (0.15%),"$9,520,000,000","$27,200,000,000",$6.10,"$12,512,000,000",17,$4.57,13,,,,,
XDC Network,$0.043,"15,100,000,000",0.024%,0.03%,0.10%,-28%,"$729,000,000",6X (0.12%),"$10,206,000,000","$24,300,000,000",$0.78,"$11,745,000,000",18,$0.58,14,,,,,
XRP,$0.54,"61,000,000,000",1.223%,1.58%,2.67%,-23%,"$36,693,000,000",3X (7.5%)  |  5X (12.5%),"$524,160,000,000","$1,223,100,000,000",$9.75,"$594,651,000,000",18,$7.31,13,$3.50,$214B,6,,
AltLayer,$0.42,"5,000,000,000",0.019%,NEW,NEW,NEW,"$564,000,000",4X (0.08%),#ERROR!,"$18,800,000,000",#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,
Hivemapper,$0.11,Coming soon,0.01%,,,#DIV/0!,"$183,000,000",,#ERROR!,"$6,100,000,000",#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,
COTI,$0.13,Coming soon,0.009%,,,#DIV/0!,"$258,000,000",,#ERROR!,"$8,600,000,000",#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,"FULL DISCLOSURE:

THIS DOES NOT ACCOUNT FOR THE VARIOUS OTHER VARIABLES I USE IN MY TYPICAL PRICE PREDICTIONS.

- News / Annoucements
- Roadmap Upgrades
- Social Engagements
- Network Useage
- TVL
- Future Demand for the product
- Memetic
- Narratives
- Market penetration

ALL OF THESE VARIABLES GO INTO MY TYPICAL PREDICTIONS

-------------------------------------------------------------------------------------------

WHAT YOU SEE ABOVE SHOULD BE A GREAT BASELINE THOUGH.

This is NOT financial advice nor is this guarenteed. This is ONLY data provided from market dominance & future supply.",,,,,,,,,,,,,,,,
